,Postcode,Number of Car
0,3854,2.4
1,3844,1.9
2,3840,1.7
3,3939,1.7
4,3192,1.7
5,3193,1.9
6,3106,2.1
7,3107,1.9
8,3152,2.0
9,3179,2.1
10,3752,2.1
11,3076,1.9
12,3823,2.1
13,3283,2.5
14,3285,2.3
15,3816,2.2
16,3331,2.3
17,3023,2.0
18,3197,1.8
19,3029,1.9
20,3024,1.9
21,3020,1.6
22,3012,1.4
23,3026,0.7
24,3025,1.6
25,3028,1.8
26,3211,2.5
27,3030,1.9
28,3027,1.9
29,3212,2.1
30,3903,1.9
31,3902,1.8
32,3198,1.6
33,3235,2.3
34,3782,2.4
35,3808,2.7
36,3809,2.0
37,3978,2.0
38,3820,1.9
39,3821,2.6
40,3818,2.0
41,3091,3.0
42,3089,2.3
43,3090,2.7
44,3134,1.9
45,3136,1.9
46,3135,1.8
47,3038,2.2
48,3833,2.0
49,3243,2.3
50,3737,1.9
51,3741,1.8
52,3423,2.0
53,3414,2.0
54,3832,2.2
55,3915,1.7
56,3241,2.2
57,3242,2.1
58,3859,2.4
59,3238,1.7
60,3862,2.2
61,3940,1.4
62,3575,2.2
63,3166,1.6
64,3824,2.0
65,3223,1.7
66,3217,2.2
67,3227,2.0
68,3996,1.7
69,3658,2.1
70,3233,1.6
71,3463,2.1
72,3544,2.1
73,3682,2.6
74,3311,1.9
75,3523,1.9
76,3266,2.2
77,3971,1.9
78,3700,2.0
79,3000,0.3
80,3002,1.2
81,3239,2.1
82,3871,2.1
83,3424,2.2
84,3690,1.8
85,3701,2.3
86,3200,1.5
87,3475,2.4
88,3132,1.7
89,3610,2.2
90,3608,1.8
91,3434,2.4
92,3909,1.7
93,3204,1.7
94,3887,1.8
95,3393,1.8
96,3391,2.4
97,3384,2.5
98,3073,1.5
99,3380,1.7
100,3338,1.8
101,3363,2.0
102,3039,1.5
103,3138,2.1
104,3765,2.3
105,3675,2.4
106,3333,2.3
107,3465,1.8
108,3464,2.1
109,3249,2.4
110,3058,1.5
111,3673,2.4
112,3284,1.8
113,3282,2.1
114,3364,2.4
115,3081,1.4
116,3040,1.7
117,3072,1.4
118,3995,1.6
119,3639,2.2
120,3638,1.9
121,3096,2.4
122,3137,2.0
123,3145,1.6
124,3722,2.0
125,3251,2.3
126,3858,2.2
127,3847,2.2
128,3044,1.6
129,3240,2.7
130,3228,2.0
131,3304,2.2
132,3489,3.6
133,3191,1.7
134,3265,2.5
135,3442,2.1
136,3573,2.6
137,3264,1.9
138,3036,2.1
139,3556,1.8
140,3550,1.6
141,3305,1.9
142,3614,2.5
143,3375,2.5
144,3379,2.4
145,3672,1.7
146,3728,2.2
147,3621,2.1
148,3518,2.1
149,3695,2.6
150,3517,2.1
151,3563,2.2
152,3747,2.0
153,3746,2.2
154,3571,3.1
155,3677,1.6
156,3450,1.5
157,3712,1.8
158,3373,2.0
159,3895,2.1
160,3711,2.3
161,3893,3.0
162,3758,2.6
163,3762,2.6
164,3392,2.0
165,3447,2.0
166,3891,1.7
167,3294,2.2
168,3435,2.2
169,3431,2.4
170,3126,1.9
171,3124,1.8
172,3759,2.6
173,3357,2.1
174,3048,1.8
175,3718,2.2
176,3720,2.2
177,3130,1.7
178,3125,1.5
179,3799,1.8
180,3151,1.7
181,3433,2.9
182,3432,2.8
183,3064,2.0
184,3430,2.5
185,3979,2.6
186,3468,2.1
187,3378,2.5
188,3049,2.0
189,3812,2.7
190,3293,1.9
191,3319,2.2
192,3663,2.3
193,3467,1.8
194,3896,2.1
195,3317,2.4
196,3659,2.3
197,3662,1.9
198,3992,2.1
199,3778,2.6
200,3751,2.5
201,3063,2.7
202,3061,1.7
203,3300,1.8
204,3143,1.4
205,3097,2.7
206,3885,2.2
207,3438,2.3
208,3334,2.5
209,3813,2.6
210,3074,1.7
211,3735,2.5
212,3395,2.6
213,3567,2.2
214,3420,2.3
215,3566,2.2
216,3709,2.1
217,3537,2.1
218,3562,2.3
219,3647,0.0
220,3565,2.1
221,3419,2.0
222,3644,1.9
223,3688,2.5
224,3576,2.5
225,3618,2.2
226,3624,2.0
227,3617,2.6
228,3570,2.5
229,3491,2.0
230,3488,2.3
231,3583,2.6
232,3487,2.0
233,3687,1.9
234,3649,2.4
235,3483,2.1
236,3542,2.3
237,3505,2.1
238,3496,2.1
239,3530,2.2
240,3599,1.8
241,3597,2.5
242,3594,2.0
243,3396,1.9
244,3485,2.1
245,3595,1.8
246,3591,2.4
247,3590,2.4
248,3589,2.1
249,3588,2.2
250,3584,2.1
251,3579,2.0
252,3581,2.2
253,3531,2.4
254,3580,2.0
255,3568,2.0
256,3529,2.5
257,3527,2.0
258,3512,2.7
259,3669,2.1
260,3670,2.5
261,3744,1.9
262,3401,2.8
263,3385,2.7
264,3413,2.9
265,3388,2.2
266,3412,2.0
267,3409,2.5
268,3387,2.6
269,3472,2.0
270,3400,1.7
271,3699,1.3
272,3623,2.1
273,3665,2.4
274,3900,2.4
275,3616,2.0
276,3520,1.9
277,3557,2.3
278,3697,2.0
279,3733,1.9
280,3698,1.8
281,3607,1.9
282,3664,2.0
283,3140,2.0
284,3451,2.0
285,3309,2.2
286,3796,2.2
287,3851,2.1
288,3022,1.6
289,3068,1.2
290,3453,2.4
291,3342,2.1
292,3047,1.6
293,3060,1.6
294,3046,1.6
295,3043,1.8
296,3115,2.8
297,3094,1.9
298,3274,2.5
299,3042,1.7
300,3113,2.4
301,3287,2.7
302,3276,2.7
303,3033,1.9
304,3093,2.0
305,3325,2.1
306,3950,1.8
307,3105,1.9
308,3271,2.2
309,3864,2.2
310,3116,2.1
311,3561,2.1
312,3749,2.2
313,3507,2.0
314,3509,1.9
315,3506,2.6
316,3596,1.6
317,3540,1.8
318,3482,2.1
319,3620,1.9
320,3683,2.1
321,3704,1.5
322,3546,2.1
323,3371,2.1
324,3779,1.8
325,3825,1.7
326,3361,2.1
327,3221,2.6
328,3216,1.8
329,3975,2.1
330,3095,2.2
331,3522,2.6
332,3370,1.9
333,3085,1.8
334,3034,1.8
335,3079,1.7
336,3756,2.2
337,3757,2.3
338,3446,2.0
339,3585,1.7
340,3803,1.9
341,3755,2.8
342,3754,2.0
343,3725,2.5
