,Postcode,Weekly Income
0,3854,1682
1,3844,1321
2,3840,906
3,3939,973
4,3192,1502
5,3193,2179
6,3106,1916
7,3107,1591
8,3152,1602
9,3179,1615
10,3752,1739
11,3076,1409
12,3823,1189
13,3283,1377
14,3285,1236
15,3816,1261
16,3331,1651
17,3023,1586
18,3197,1547
19,3029,1578
20,3024,1505
21,3020,1128
22,3012,1483
23,3026,630
24,3025,1240
25,3028,1387
26,3211,1678
27,3030,1676
28,3027,2220
29,3212,1557
30,3903,900
31,3902,1008
32,3198,1208
33,3235,1305
34,3782,1701
35,3808,2144
36,3809,1864
37,3978,1864
38,3820,1196
39,3821,1397
40,3818,1159
41,3091,2147
42,3089,2089
43,3090,2588
44,3134,1628
45,3136,1488
46,3135,1606
47,3038,1654
48,3833,807
49,3243,1100
50,3737,944
51,3741,970
52,3423,685
53,3414,887
54,3832,1031
55,3915,973
56,3241,1129
57,3242,1181
58,3859,1293
59,3238,850
60,3862,1159
61,3940,786
62,3575,926
63,3166,1584
64,3824,1244
65,3223,896
66,3217,1906
67,3227,1744
68,3996,1042
69,3658,1243
70,3233,933
71,3463,875
72,3544,833
73,3682,1257
74,3311,758
75,3523,809
76,3266,1130
77,3971,885
78,3700,1103
79,3000,955
80,3002,2285
81,3239,905
82,3871,1093
83,3424,831
84,3690,1206
85,3701,972
86,3200,888
87,3475,675
88,3132,1650
89,3610,938
90,3608,977
91,3434,1622
92,3909,869
93,3204,1801
94,3887,762
95,3393,894
96,3391,966
97,3384,863
98,3073,1197
99,3380,928
100,3338,1337
101,3363,969
102,3039,1861
103,3138,1594
104,3765,1707
105,3675,1302
106,3333,1266
107,3465,781
108,3464,1008
109,3249,1152
110,3058,1608
111,3673,1099
112,3284,1128
113,3282,1291
114,3364,1129
115,3081,1177
116,3040,1825
117,3072,1427
118,3995,840
119,3639,829
120,3638,995
121,3096,1927
122,3137,1433
123,3145,1884
124,3722,1096
125,3251,1013
126,3858,986
127,3847,1223
128,3044,1607
129,3240,1766
130,3228,1763
131,3304,1009
132,3489,762
133,3191,2124
134,3265,1303
135,3442,1697
136,3573,966
137,3264,1012
138,3036,1743
139,3556,964
140,3550,1107
141,3305,1092
142,3614,1654
143,3375,924
144,3379,955
145,3672,905
146,3728,1011
147,3621,1076
148,3518,727
149,3695,1699
150,3517,808
151,3563,987
152,3747,1170
153,3746,949
154,3571,860
155,3677,1009
156,3450,907
157,3712,751
158,3373,842
159,3895,671
160,3711,1083
161,3893,1374
